idx,  act, range, tcyc, nspots, fmax
430, 0.24, 74.59,  3.7,    14, 3.08e-04
431, 0.60, 41.11,  3.8,    37, 8.27e-04
432, 2.57,  7.76,  1.8,   420, 7.87e-03
433, 3.58, 59.51,  5.1,   960, 1.76e-02
434, 0.38, 44.94, 19.5,     1, 4.29e-06
435, 0.11, 40.82,  2.0,    25, 2.41e-04
436, 0.46, 56.75,  1.6,   109, 8.24e-04
437, 0.37, 32.05,  3.1,   120, 3.64e-03
438, 0.14, 39.35, 29.9,     1, 7.77e-05
439, 0.20, 53.08,  3.5,    27, 7.12e-04
440, 0.60, 31.64, 27.0,     0,
441, 0.58, 53.24,  3.9,    46, 9.59e-04
442, 3.85, 56.37, 19.6,    18, 3.16e-04
443, 0.50, 27.29,  5.1,    16, 6.43e-04
444, 0.47, 40.15,  5.7,    17, 8.64e-04
445, 0.31, 50.29,  9.1,     7, 2.87e-04
446, 0.52, 48.07,  1.2,    94, 1.53e-03
447, 2.04, 46.28,  2.4,   242, 7.11e-03
448, 0.71, 32.42,  2.4,   112, 2.31e-03
449, 0.46, 18.94,  4.4,    21, 7.27e-04
450, 0.14, 29.23,  7.6,    14, 1.33e-04
451, 0.12, 23.92,  5.1,     6, 1.29e-04
452, 0.85, 48.39, 15.4,   295, 7.44e-03
453, 0.43, 49.99,  3.4,    67, 1.11e-03
454, 0.11, 17.11,  7.3,    32, 6.13e-04
455, 4.47, 53.89,  7.8,   868, 2.71e-02
456, 1.58, 46.43, 19.3,   133, 1.63e-03
457, 2.13, 36.25,  3.3,   177, 6.86e-03
458, 0.57, 18.65,  2.7,    61, 1.08e-03
459, 1.58, 20.12,  2.8,   411, 6.24e-03
460, 0.77, 18.65, 37.3,     0,
461, 0.67, 26.14, 38.2,     0,
462, 0.54, 13.45, 13.7,     5, 2.66e-04
463, 0.28, 69.90,  7.3,    48, 1.05e-03
464, 0.74, 41.81,  9.6,   186, 3.07e-03
465, 4.79, 18.41, 36.3,   310, 7.71e-04
466, 0.27, 34.86, 18.0,    32, 7.06e-04
467, 7.23, 37.83,  7.0,  2098, 3.61e-02
468, 7.52, 67.21, 10.8,    74, 2.71e-03
469, 0.46, 30.96,  1.9,    70, 2.37e-03
